table,row_count,table_hash,run_count,first_run_time_bj,last_run_time_bj,first_run_created_at,last_run_created_at
asset_master,48,c3d5f6942857f5b97c43e8aeab5052346b328602118c4284a035765c63ddc586,,,,,
asset_pool_entry,38,d88f62b1d12c1cec0c0cd8b5e3a24a112ec93b41c17a7173d92a7cc43b732a28,,,,,
audit_log,79,5def5fb0fdef5868a92869ce8659978302fbac44960b375b9d6d43eb5aa5bc88,35,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
automation_tick_log,1019,aa8b94158230828ccf9f25c5ec88797fe2b0716bda3f396981441688e216b021,24,2026-06-12T14:00:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:29:19+00:00,2026-06-29T09:27:38+00:00
baseline_snapshot,123,edde6d74700077f525600ed47c42b0a73027d06a26135c1dec2ca346c47f3af6,17,2026-06-13T06:00:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T22:34:10+00:00,2026-06-29T09:27:38+00:00
comparison_snapshot,640,94578ea63c3f710f36ec2091d3b41be616e256d39250e68a3ab10db87ffece12,32,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:29:02+00:00,2026-06-29T09:27:38+00:00
conflict_log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,,
decision_record,208,db2827960ccb245c0edc7bfbfd9b6aca96e535caf4e2ce4bc26ed8be260ad564,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
fund_nav_snapshot,307,5f2dcab6f1d0c9fd750d1d3d36164354cdc5ff6ba65a71731c58e5735512b920,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
fund_rule_snapshot,335,539db49fb9432d5b195cbb2f5b90a58bfe9a1acd1f12f729c985d0eada2a6d83,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
manual_review_decision,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,,
manual_review_queue,277,ea3655718abd0d04803c758f3bda95ad13e025e4634ec4b11ae016ebca4f81c9,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
market_kline_snapshot,67486,5a4f6886292bf57d5b3a35c1aff659f43cb8f32008e69aba74e8c77014fb7947,39,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
missing_data_log,973,768d687eaf4dccb4e474b8781058952e61c554c50222c5483d75d583ba0c5702,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
notification_log,67,68bdbf58ee069c4c285913c94cd1a3a2a561aaf5c6bb5d04199dd9f06ffbe3c4,35,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
platform_trade_check_snapshot,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,
position_snapshot,8,d96bce1498c9d794b553bc74c1adf306863fadabc35422400f76c43ce6861edb,2,2026-06-12T12:11:19+00:00,2026-06-12T12:28:52+00:00,2026-06-12T12:11:19+00:00,2026-06-12T12:28:52+00:00
rebalance_event_log,162,62c5827e5a8d1a894cccec168fad9c1add1ad9b642ddfe16462e92e166e6ba54,28,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:29:02+00:00,2026-06-29T09:27:38+00:00
recommendation_snapshot,208,fcaa8649d294fcadf7d22143d42e9287fcc7ad24ba3b33505308fd26607c3457,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
run_log,41,ead1431fc28d5a1704ca04a8ccb6632679f44a2ea2382430da67e8aa2bceb89d,41,2026-06-12T12:11:19+00:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:19+00:00,2026-06-29T09:27:38+00:00
score_snapshot,472,8763050c7720b6737e2c70e837a543fc90c638f6a943a4a3dd1ebbe96749e85f,34,2026-06-12T13:30:00+08:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:24+00:00,2026-06-29T09:27:38+00:00
source_evidence_audit_snapshot,316,75b243bd2a750418022c88667de73a88a4d0dcb91102f5063e23b889cdbb917d,,,,,
source_log,820,2c87a9a9d55b25cf1c6ddd2b152a1e0e0975739d1dfc77bb26bf0f97824cd010,41,2026-06-12T12:11:19+00:00,2026-06-29T17:30:00+08:00,2026-06-12T12:11:19+00:00,2026-06-29T09:27:38+00:00
