candidate_id,rel_path,domain,size_bytes,mtime_epoch,mtime_iso,extension,candidate_reason,readability_class,signature_category,header_bytes_read,schema_opened,message_or_contact_rows_selected,sensitive_skip,open_policy,read_error,companion_main_rel_path
DB00001,app_data/radium/mmkv/codecache_appid_dict/codecache_appid_dict,mmkv_or_key_value,16384,1769733310,2026-01-30T10:35:10+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00002,app_data/radium/mmkv/codecache_appid_dict/codecache_appid_dict.crc,mmkv_or_key_value,16384,1769733310,2026-01-30T10:35:10+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00003,app_data/radium/mmkv/xweb_global_storage/xweb_global_storage,mmkv_or_key_value,65536,1782686368,2026-06-29T08:39:28+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00004,app_data/radium/mmkv/xweb_global_storage/xweb_global_storage.crc,mmkv_or_key_value,16384,1782686370,2026-06-29T08:39:30+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00005,app_data/radium/mmkv/xweb_config_storage/xweb_config_storage.crc,mmkv_or_key_value,16384,1782686387,2026-06-29T08:39:47+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00006,app_data/radium/mmkv/xweb_config_storage/xweb_config_storage,mmkv_or_key_value,16384,1782686387,2026-06-29T08:39:47+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00007,app_data/radium/web/profiles/webview_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage-wal,app_data/radium_db,0,1763974310,2025-11-24T18:51:50+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/webview_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage
DB00008,app_data/radium/web/profiles/webview_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1782686385,2026-06-29T08:39:45+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00009,app_data/radium/web/profiles/multitab/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1782686367,2026-06-29T08:39:27+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00010,app_data/radium/web/profiles/game_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage-wal,app_data/radium_db,0,1765590121,2025-12-13T11:42:01+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/game_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage
DB00011,app_data/radium/web/profiles/game_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1765590002,2025-12-13T11:40:02+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00012,app_data/radium/web/profiles/multitab_f329198777cc4229b682e34e4c24ced4/SharedStorage-wal,app_data/radium_db,0,1774502483,2026-03-26T15:21:23+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/multitab_f329198777cc4229b682e34e4c24ced4/SharedStorage
DB00013,app_data/radium/web/profiles/game/SharedStorage-wal,app_data/radium_db,0,1765590120,2025-12-13T11:42:00+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/game/SharedStorage
DB00014,app_data/radium/web/profiles/game/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1765590000,2025-12-13T11:40:00+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00015,app_data/radium/web/profiles/multitab_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage-wal,app_data/radium_db,0,1758942957,2025-09-27T13:15:57+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/multitab_7865bc9b83a075b9b3dcb4e865b3a80f/SharedStorage
DB00016,app_data/radium/web/profiles/multitab_7865bc9b83a075b9b3dcb4e865b3a80f/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1782686386,2026-06-29T08:39:46+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00017,app_data/radium/web/profiles/game_f329198777cc4229b682e34e4c24ced4/SharedStorage-wal,app_data/radium_db,0,1774502483,2026-03-26T15:21:23+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/game_f329198777cc4229b682e34e4c24ced4/SharedStorage
DB00018,app_data/radium/web/profiles/game_f329198777cc4229b682e34e4c24ced4/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1774502364,2026-03-26T15:19:24+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00019,app_data/radium/web/profiles/web_shell/heavy_ad_intervention_opt_out.db,app_data/radium_db,16384,1782686367,2026-06-29T08:39:27+10:00,.db,db_like_extension;radium_db_like,plain_sqlite_possible,sqlite_header,16,false,false,false,header_only_no_schema,,
DB00020,app_data/radium/web/profiles/webview_f329198777cc4229b682e34e4c24ced4/SharedStorage-wal,app_data/radium_db,0,1774502483,2026-03-26T15:21:23+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/webview_f329198777cc4229b682e34e4c24ced4/SharedStorage
DB00021,app_data/radium/web/profiles/multitab_02c5979c736149984a35b2ce0157dfac/SharedStorage-wal,app_data/radium_db,0,1761525311,2025-10-27T10:35:11+10:00,,wal_shm_companion_extension;radium_db_like,companion_file,empty_file,16,false,false,false,header_only_no_schema,,app_data/radium/web/profiles/multitab_02c5979c736149984a35b2ce0157dfac/SharedStorage
DB00022,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/codecache_appid_dict/codecache_appid_dict,mmkv_or_key_value,16384,1769735754,2026-01-30T11:15:54+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00023,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/codecache_appid_dict/codecache_appid_dict.crc,mmkv_or_key_value,16384,1769735754,2026-01-30T11:15:54+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00024,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/xweb_user_storage/xweb_user_storage,mmkv_or_key_value,65536,1782720436,2026-06-29T18:07:16+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00025,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/xweb_user_storage/xweb_user_storage.crc,mmkv_or_key_value,16384,1782720436,2026-06-29T18:07:16+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00026,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/user_config_storage/user_config_storage.crc,mmkv_or_key_value,16384,1782686387,2026-06-29T08:39:47+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00027,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/mmkv/user_config_storage/user_config_storage,mmkv_or_key_value,16384,1782686387,2026-06-29T08:39:47+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00028,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx4787e14682ea8631/mmkvadapterstorage/wx4787e14682ea8631,mmkv_or_key_value,16384,1761095695,2025-10-22T11:14:55+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00029,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx4787e14682ea8631/mmkvadapterstorage/wx4787e14682ea8631.crc,mmkv_or_key_value,16384,1761095695,2025-10-22T11:14:55+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00030,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx1e45818203935bb6/mmkvadapterstorage/wx1e45818203935bb6,mmkv_or_key_value,16384,1765629742,2025-12-13T22:42:22+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00031,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx1e45818203935bb6/mmkvadapterstorage/wx1e45818203935bb6.crc,mmkv_or_key_value,16384,1765629742,2025-12-13T22:42:22+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00032,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wxd3cd9ad4699a4ccb/mmkvadapterstorage/wxd3cd9ad4699a4ccb,mmkv_or_key_value,16384,1771984339,2026-02-25T11:52:19+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00033,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wxd3cd9ad4699a4ccb/mmkvadapterstorage/wxd3cd9ad4699a4ccb.crc,mmkv_or_key_value,16384,1771984339,2026-02-25T11:52:19+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00034,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wxfaeec4255298e6c6/mmkvadapterstorage/wxfaeec4255298e6c6,mmkv_or_key_value,16384,1765173246,2025-12-08T15:54:06+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00035,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wxfaeec4255298e6c6/mmkvadapterstorage/wxfaeec4255298e6c6.crc,mmkv_or_key_value,16384,1765173246,2025-12-08T15:54:06+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00036,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx537b4d99bfc358e8/mmkvadapterstorage/wx537b4d99bfc358e8,mmkv_or_key_value,16384,1778478430,2026-05-11T15:47:10+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00037,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx537b4d99bfc358e8/mmkvadapterstorage/wx537b4d99bfc358e8.crc,mmkv_or_key_value,16384,1778478430,2026-05-11T15:47:10+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00038,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx76722bb299feb3bd/mmkvadapterstorage/wx76722bb299feb3bd,mmkv_or_key_value,16384,1780894908,2026-06-08T15:01:48+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00039,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx76722bb299feb3bd/mmkvadapterstorage/wx76722bb299feb3bd.crc,mmkv_or_key_value,16384,1780894908,2026-06-08T15:01:48+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00040,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx33fd6cdc62520063/mmkvadapterstorage/wx33fd6cdc62520063,mmkv_or_key_value,16384,1778464899,2026-05-11T12:01:39+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00041,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx33fd6cdc62520063/mmkvadapterstorage/wx33fd6cdc62520063.crc,mmkv_or_key_value,16384,1778464899,2026-05-11T12:01:39+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00042,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx8a5d6f9fad07544e/mmkvadapterstorage/wx8a5d6f9fad07544e.crc,mmkv_or_key_value,16384,1780311821,2026-06-01T21:03:41+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00043,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx8a5d6f9fad07544e/mmkvadapterstorage/wx8a5d6f9fad07544e,mmkv_or_key_value,16384,1780311821,2026-06-01T21:03:41+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00044,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx197dedca5119a181/mmkvadapterstorage/wx197dedca5119a181.crc,mmkv_or_key_value,16384,1768992933,2026-01-21T20:55:33+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00045,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx197dedca5119a181/mmkvadapterstorage/wx197dedca5119a181,mmkv_or_key_value,16384,1768992933,2026-01-21T20:55:33+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00046,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx0e6ed4f51db9d078/mmkvadapterstorage/wx0e6ed4f51db9d078.crc,mmkv_or_key_value,16384,1769401452,2026-01-26T14:24:12+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00047,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/local/wx0e6ed4f51db9d078/mmkvadapterstorage/wx0e6ed4f51db9d078,mmkv_or_key_value,16384,1769401452,2026-01-26T14:24:12+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00048,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/data/8/applet.db,app_data/radium_db,6086656,1782721582,2026-06-29T18:26:22+10:00,.db,db_like_extension;radium_db_like,encrypted_or_sqlcipher_likely,non_sqlite_header,16,false,false,false,header_only_no_schema,,
DB00049,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/data/8/applet.db-wal,app_data/radium_db,6328352,1782721545,2026-06-29T18:25:45+10:00,.db-wal,wal_shm_companion_extension;radium_db_like,companion_file,sqlite_wal_header,16,false,false,false,header_only_no_schema,,app_data/radium/users/7865bc9b83a075b9b3dcb4e865b3a80f/applet/data/8/applet
DB00050,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/codecache_appid_dict/codecache_appid_dict,mmkv_or_key_value,16384,1774502379,2026-03-26T15:19:39+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00051,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/codecache_appid_dict/codecache_appid_dict.crc,mmkv_or_key_value,16384,1774502379,2026-03-26T15:19:39+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00052,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/xweb_user_storage/xweb_user_storage,mmkv_or_key_value,32768,1774509643,2026-03-26T17:20:43+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00053,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/xweb_user_storage/xweb_user_storage.crc,mmkv_or_key_value,16384,1774509643,2026-03-26T17:20:43+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00054,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/user_config_storage/user_config_storage.crc,mmkv_or_key_value,16384,1774502368,2026-03-26T15:19:28+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00055,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/mmkv/user_config_storage/user_config_storage,mmkv_or_key_value,16384,1774502368,2026-03-26T15:19:28+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00056,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/applet/data/8/applet.db,app_data/radium_db,2596864,1774517368,2026-03-26T19:29:28+10:00,.db,db_like_extension;radium_db_like,encrypted_or_sqlcipher_likely,non_sqlite_header,16,false,false,false,header_only_no_schema,,
DB00057,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/applet/data/8/applet.db-wal,app_data/radium_db,3419632,1774502367,2026-03-26T15:19:27+10:00,.db-wal,wal_shm_companion_extension;radium_db_like,companion_file,sqlite_wal_header,16,false,false,false,header_only_no_schema,,app_data/radium/users/f329198777cc4229b682e34e4c24ced4/applet/data/8/applet
DB00058,app_data/login/wxid_hhh910arp3m212/key_info.dat,protected_key_info_or_login,180,1761525188,2025-10-27T10:33:08+10:00,.dat,sensitive_key_info_name,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00059,app_data/login/wxid_1eryssl2o0jk12/key_info.dat,protected_key_info_or_login,180,1774502329,2026-03-26T15:18:49+10:00,.dat,sensitive_key_info_name,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00060,app_data/login/key_info.dat,protected_key_info_or_login,180,1769740284,2026-01-30T12:31:24+10:00,.dat,sensitive_key_info_name,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00061,app_data/login/wxid_rtkga2i8r63812/key_info.dat,protected_key_info_or_login,180,1782721524,2026-06-29T18:25:24+10:00,.dat,sensitive_key_info_name,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00062,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db-wal,protected_key_info_or_login,0,1782894621,2026-07-01T18:30:21+10:00,.db-wal,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info
DB00063,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db-shm,protected_key_info_or_login,32768,1782894621,2026-07-01T18:30:21+10:00,.db-shm,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info
DB00064,xwechat_files/all_users/login/wxid_hhh910arp3m212/key_info.db,protected_key_info_or_login,12288,1761525195,2025-10-27T10:33:15+10:00,.db,db_like_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00065,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db-wal,protected_key_info_or_login,0,1782894621,2026-07-01T18:30:21+10:00,.db-wal,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info
DB00066,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db-shm,protected_key_info_or_login,32768,1782894621,2026-07-01T18:30:21+10:00,.db-shm,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info
DB00067,xwechat_files/all_users/login/wxid_1eryssl2o0jk12/key_info.db,protected_key_info_or_login,12288,1774502337,2026-03-26T15:18:57+10:00,.db,db_like_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00068,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db-wal,protected_key_info_or_login,0,1782894621,2026-07-01T18:30:21+10:00,.db-wal,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info
DB00069,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db-shm,protected_key_info_or_login,32768,1782894788,2026-07-01T18:33:08+10:00,.db-shm,wal_shm_companion_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info
DB00070,xwechat_files/all_users/login/wxid_rtkga2i8r63812/key_info.db,protected_key_info_or_login,69632,1782721534,2026-06-29T18:25:34+10:00,.db,db_like_extension;sensitive_key_info_name;login_sensitive_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00071,xwechat_files/wxid_rtkga2i8r63812_7865/business/xeditor/mmkv/XEditorData,mmkv_or_key_value,16384,1782686467,2026-06-29T08:41:07+10:00,,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00072,xwechat_files/wxid_rtkga2i8r63812_7865/business/xeditor/mmkv/XEditorData.crc,mmkv_or_key_value,16384,1782686467,2026-06-29T08:41:07+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
DB00073,xwechat_files/wxid_rtkga2i8r63812_7865/business/xweb/mmkv/0a143946bf9f712e671c241e0bda9a79.crc,mmkv_or_key_value,16384,1782721540,2026-06-29T18:25:40+10:00,.crc,mmkv_key_value_path,sensitive_skip,not_read_sensitive_skip,0,false,false,true,skip_no_open,,
