candidate_id,source_root,source_kind,artifact_kind,redacted_rel_path,path_fingerprint,extension,size_bytes,mtime_iso,signals,conversion_feasibility,owner_authorization_observed,content_opened,message_content_parsed,protected_db_opened,recommended_action
RA00007,LOCAL_METADATA_ROOT,local_metadata,readable_csv,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.csv,516172212a73abd0,.csv,1961,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00010,LOCAL_METADATA_ROOT,local_metadata,readable_csv,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.csv,c714bf26a114e6e6,.csv,28199,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00002,LOCAL_METADATA_ROOT,local_metadata,readable_csv,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.csv,8c8287ae9fa4115a,.csv,50027,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00004,LOCAL_METADATA_ROOT,local_metadata,readable_csv,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.csv,07d5857e6d68751a,.csv,111578,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00009,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,362f5fccb34e2972,.md,1241,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00006,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,781b28aa9f749bb8,.md,1564,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00005,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,504658b1db06a844,.md,1703,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00011,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,8a6649133f2ccb5f,.md,1708,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00008,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,8e88bd7f62b1e47b,.md,1731,2026-07-03T07:50:16+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00003,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,a4bf668cd46f6f23,.md,1732,2026-07-03T07:50:16+10:00,filename_keyword:export|folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00001,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{readable_file}.md,82a41d7a0201d8c7,.md,2130,2026-07-03T07:52:50+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
RA00012,LOCAL_METADATA_ROOT,local_metadata,readable_text_or_markdown,stage2_outputs/stage2_sprint2_safe_readability/{private_segment}/{readable_file}.md,d7cbeadb3253da87,.md,10579,2026-07-03T07:50:11+10:00,folder_keyword:stage2_outputs|existing_wda_generated_report,not_message_artifact_report_only,implicit_user_requested_real_data_discovery_not_import_authorization,false,false,false,separate_approved_conversion_or_validation_sprint_required
