local_file,exists,size_bytes,sensitivity,git_policy
index.html,yes,2476,local_navigation_or_validation,do_not_commit_local_output
index.md,yes,2189,local_navigation_or_validation,do_not_commit_local_output
query_examples.sql,yes,1519,local_navigation_or_validation,do_not_commit_local_output
run_query_examples.sh,yes,827,local_navigation_or_validation,do_not_commit_local_output
local_operator_guide.md,yes,1153,local_navigation_or_validation,do_not_commit_local_output
v0_1_closure_summary.md,yes,1141,local_navigation_or_validation,do_not_commit_local_output
report_inventory.csv,yes,2805,local_navigation_or_validation,do_not_commit_local_output
validation_report.json,yes,944,local_navigation_or_validation,do_not_commit_local_output
subject_pages/S1_mxr_yan.html,yes,4966,local_full_sensitive_navigation,do_not_commit_local_output
subject_pages/S2_spouse.html,yes,4860,local_full_sensitive_navigation,do_not_commit_local_output
subject_pages/S3_payment_invoice_amount.html,yes,5039,local_full_sensitive_navigation,do_not_commit_local_output
subject_pages/S4_recent_high_frequency.html,yes,5022,local_full_sensitive_navigation,do_not_commit_local_output
subject_pages/S5_weak_noise_sample.html,yes,4828,local_full_sensitive_navigation,do_not_commit_local_output
